PERMNO,date,Broadcom Ret,XLK Ret,sprtrn,risk free rate
93002,2012-12-31,-0.093424,-0.003857,0.007068,0.000103
93002,2013-01-31,0.130145,0.019064,0.050428,0.000022
93002,2013-02-28,-0.043332,0.007823,0.011061,0.000054
93002,2013-03-28,0.054646,0.025796,0.035988,0.000041
93002,2013-04-30,-0.109749,0.017509,0.018086,0.000037
93002,2013-05-31,0.180538,0.027922,0.020763,0.000012
93002,2013-06-28,-0.003711,-0.029070,-0.014999,0.000013
93002,2013-07-31,-0.018727,0.037437,0.049462,0.000009
93002,2013-08-30,0.049891,-0.010400,-0.031298,0.000009
93002,2013-09-30,0.124643,0.025425,0.029749,0.000008
93002,2013-10-31,0.054550,0.050250,0.044596,0.000017
93002,2013-11-29,-0.015408,0.030906,0.028049,0.000032
93002,2013-12-31,0.187771,0.035206,0.023563,0.000023
93002,2014-01-31,0.033255,-0.025742,-0.035583,0.000012
93002,2014-02-28,0.129261,0.043940,0.043117,0.000045
93002,2014-03-31,0.048298,0.004328,0.006932,0.000028
93002,2014-04-30,-0.014128,0.002751,0.006201,0.000015
93002,2014-05-30,0.112913,0.037586,0.02103,0.000008
93002,2014-06-30,0.023914,0.018668,0.019058,0.000020
93002,2014-07-31,-0.037325,0.016949,-0.01508,0.000013
93002,2014-08-29,0.183194,0.032820,0.037655,0.000003
93002,2014-09-30,0.063711,-0.005120,-0.015514,0.000004
93002,2014-10-31,-0.008621,0.016040,0.023201,0.000012
93002,2014-11-28,0.082899,0.048101,0.024534,-0.000001
93002,2014-12-31,0.080728,-0.021735,-0.004189,0.000005
93002,2015-01-30,0.022766,-0.035066,-0.031041,0.000013
93002,2015-02-27,0.240474,0.079950,0.054893,-0.000021
93002,2015-03-31,-0.002037,-0.034267,-0.017396,-0.000008
93002,2015-04-30,-0.079540,0.027510,0.008521,0.000029
93002,2015-05-29,0.266855,0.018553,0.010491,-0.000005
93002,2015-06-30,-0.099548,-0.040975,-0.021012,0.000004
93002,2015-07-31,-0.058602,0.028502,0.019742,-0.000037
93002,2015-08-31,0.006633,-0.055190,-0.062581,0.000027
93002,2015-09-30,-0.004287,-0.013586,-0.026443,-0.000006
93002,2015-10-30,-0.015039,0.105063,0.082983,-0.000027
93002,2015-11-30,0.059449,0.007102,0.000505,0.000020
93002,2015-12-31,0.116060,-0.020794,-0.01753,0.000103
93002,2016-01-29,-0.078815,-0.037124,-0.050735,0.000037
93002,2016-02-29,0.001944,-0.006547,-0.004128,0.000205
93002,2016-03-31,0.156901,0.088119,0.065991,0.000190
93002,2016-04-29,-0.056634,-0.050271,0.002699,0.000051
93002,2016-05-31,0.059074,0.048896,0.015329,0.000115
93002,2016-06-30,0.009977,-0.013774,0.000906,0.000188
93002,2016-07-29,0.042342,0.071017,0.03561,0.000171
93002,2016-08-31,0.089147,0.011625,-0.001219,0.000165
93002,2016-09-30,-0.019215,0.020974,-0.001234,0.000219
93002,2016-10-31,-0.012984,-0.007535,-0.019426,0.000168
93002,2016-11-30,0.001233,0.001687,0.034174,0.000136
93002,2016-12-30,0.042818,0.022658,0.018201,0.000239
93002,2017-01-31,0.128585,0.035567,0.017884,0.000358
93002,2017-02-28,0.057293,0.045327,0.037198,0.000364
93002,2017-03-31,0.042905,0.022259,-0.000389,0.000353
93002,2017-04-28,0.008449,0.020071,0.009091,0.000537
93002,2017-05-31,0.084552,0.039537,0.011576,0.000614
93002,2017-06-30,-0.022591,-0.028067,0.004814,0.000617
93002,2017-07-31,0.058399,0.044591,0.019349,0.000722
93002,2017-08-31,0.021933,0.029216,0.000546,0.000827
93002,2017-09-29,-0.033761,0.008146,0.019303,0.000944
93002,2017-10-31,0.088109,0.065144,0.022188,0.000840
93002,2017-11-30,0.053162,0.014138,0.028083,0.000826
93002,2017-12-29,-0.069403,0.005455,0.009832,0.000884
93002,2018-01-31,-0.034527,0.070367,0.056179,0.001121
93002,2018-02-28,-0.006330,-0.004091,-0.038947,0.001073
93002,2018-03-29,-0.036761,-0.037146,-0.026885,0.000261
93002,2018-04-30,-0.026437,0.000611,0.002719,0.001433
93002,2018-05-31,0.098727,0.067828,0.021608,0.001401
93002,2018-06-29,-0.030468,-0.002500,0.004842,0.001408
93002,2018-07-31,-0.086012,0.020872,0.036022,0.001558
93002,2018-08-31,-0.012355,0.065990,0.030263,0.001575
93002,2018-09-28,0.134456,-0.000207,0.004294,0.001490
93002,2018-10-31,-0.094192,-0.080048,-0.069403,0.001890
93002,2018-11-30,0.062285,-0.019625,0.017859,0.001795
93002,2018-12-31,0.082221,-0.083823,-0.091777,0.001930
93002,2019-01-31,0.054939,0.069377,0.078684,0.001920
93002,2019-02-28,0.026505,0.069101,0.029729,0.001809
93002,2019-03-29,0.101685,0.047606,0.017924,0.001935
93002,2019-04-30,0.058827,0.063649,0.039313,0.002125
93002,2019-05-31,-0.209673,-0.086647,-0.065778,0.001983
93002,2019-06-28,0.154467,0.089419,0.06893,0.001853
93002,2019-07-31,0.007399,0.034982,0.013128,0.001783
93002,2019-08-30,-0.025346,-0.015352,-0.018092,0.001908
93002,2019-09-30,-0.013869,0.015751,0.017181,0.001787
93002,2019-10-31,0.060782,0.038992,0.020432,0.001531
93002,2019-11-29,0.079768,0.053663,0.034047,0.001197
93002,2019-12-31,0.009677,0.043156,0.02859,0.001431
93002,2020-01-31,-0.034365,0.039926,-0.001628,0.001164
93002,2020-02-28,-0.106633,-0.073010,-0.08411,0.001208
93002,2020-03-31,-0.118370,-0.086325,-0.125119,0.001268
93002,2020-04-30,0.145593,0.137365,0.126844,0.000003
93002,2020-05-29,0.072344,0.071765,0.045282,0.000059
93002,2020-06-30,0.094723,0.069414,0.018388,0.000111
93002,2020-07-31,0.003612,0.056848,0.055101,0.000096
93002,2020-08-31,0.095975,0.118808,0.070065,0.000079
93002,2020-09-30,0.058822,-0.053448,-0.039228,0.000076
93002,2020-10-30,-0.040322,-0.050043,-0.027666,0.000073
93002,2020-11-30,0.148586,0.113837,0.107546,0.000066
93002,2020-12-31,0.099283,0.055374,0.037121,0.000060
93002,2021-01-29,0.028891,-0.008383,-0.011137,0.000046
93002,2021-02-26,0.042997,0.013651,0.026091,0.000045
93002,2021-03-31,-0.005555,0.018312,0.042439,0.000027
93002,2021-04-30,-0.016089,0.051879,0.052425,0.000014
93002,2021-05-28,0.035357,-0.009306,0.005487,0.000005
93002,2021-06-30,0.017170,0.068783,0.022214,0.000004
93002,2021-07-30,0.017952,0.038873,0.022748,0.000031
93002,2021-08-31,0.024330,0.035593,0.02899,0.000049
93002,2021-09-30,-0.017457,-0.058335,-0.047569,0.000033
93002,2021-10-29,0.096385,0.081771,0.069144,0.000037
93002,2021-11-30,0.041398,0.044512,-0.008334,0.000044
93002,2021-12-31,0.209200,0.032400,0.043613,0.000067
93002,2022-01-31,-0.119520,-0.068442,-0.052585,0.000044
93002,2022-02-28,0.002663,-0.048774,-0.031361,0.000028
93002,2022-03-31,0.078885,0.033398,0.035773,0.000060
93002,2022-04-29,-0.119569,-0.110174,-0.087957,0.000037
93002,2022-05-31,0.046429,-0.006859,5.3e-05,0.000307
93002,2022-06-30,-0.155517,-0.092608,-0.08392,0.000567
93002,2022-07-29,0.102242,0.134519,0.091116,0.000812
93002,2022-08-31,-0.067920,-0.062127,-0.04244,0.001901
93002,2022-09-30,-0.102182,-0.119498,-0.093396,0.001929
93002,2022-10-31,0.058805,0.076528,0.079863,0.002327
93002,2022-11-30,0.172105,0.063267,0.053753,0.002856
93002,2022-12-30,0.023048,-0.082044,-0.058971,0.003379
