PERMNO,date,Broadcom Ret,XLK Ret
93002,2012-12-31,-0.093424,-0.003857
93002,2013-01-31,0.130145,0.019064
93002,2013-02-28,-0.043332,0.007823
93002,2013-03-28,0.054646,0.025796
93002,2013-04-30,-0.109749,0.017509
93002,2013-05-31,0.180538,0.027922
93002,2013-06-28,-0.003711,-0.029070
93002,2013-07-31,-0.018727,0.037437
93002,2013-08-30,0.049891,-0.010400
93002,2013-09-30,0.124643,0.025425
93002,2013-10-31,0.054550,0.050250
93002,2013-11-29,-0.015408,0.030906
93002,2013-12-31,0.187771,0.035206
93002,2014-01-31,0.033255,-0.025742
93002,2014-02-28,0.129261,0.043940
93002,2014-03-31,0.048298,0.004328
93002,2014-04-30,-0.014128,0.002751
93002,2014-05-30,0.112913,0.037586
93002,2014-06-30,0.023914,0.018668
93002,2014-07-31,-0.037325,0.016949
93002,2014-08-29,0.183194,0.032820
93002,2014-09-30,0.063711,-0.005120
93002,2014-10-31,-0.008621,0.016040
93002,2014-11-28,0.082899,0.048101
93002,2014-12-31,0.080728,-0.021735
93002,2015-01-30,0.022766,-0.035066
93002,2015-02-27,0.240474,0.079950
93002,2015-03-31,-0.002037,-0.034267
93002,2015-04-30,-0.079540,0.027510
93002,2015-05-29,0.266855,0.018553
93002,2015-06-30,-0.099548,-0.040975
93002,2015-07-31,-0.058602,0.028502
93002,2015-08-31,0.006633,-0.055190
93002,2015-09-30,-0.004287,-0.013586
93002,2015-10-30,-0.015039,0.105063
93002,2015-11-30,0.059449,0.007102
93002,2015-12-31,0.116060,-0.020794
93002,2016-01-29,-0.078815,-0.037124
93002,2016-02-29,0.001944,-0.006547
93002,2016-03-31,0.156901,0.088119
93002,2016-04-29,-0.056634,-0.050271
93002,2016-05-31,0.059074,0.048896
93002,2016-06-30,0.009977,-0.013774
93002,2016-07-29,0.042342,0.071017
93002,2016-08-31,0.089147,0.011625
93002,2016-09-30,-0.019215,0.020974
93002,2016-10-31,-0.012984,-0.007535
93002,2016-11-30,0.001233,0.001687
93002,2016-12-30,0.042818,0.022658
93002,2017-01-31,0.128585,0.035567
93002,2017-02-28,0.057293,0.045327
93002,2017-03-31,0.042905,0.022259
93002,2017-04-28,0.008449,0.020071
93002,2017-05-31,0.084552,0.039537
93002,2017-06-30,-0.022591,-0.028067
93002,2017-07-31,0.058399,0.044591
93002,2017-08-31,0.021933,0.029216
93002,2017-09-29,-0.033761,0.008146
93002,2017-10-31,0.088109,0.065144
93002,2017-11-30,0.053162,0.014138
93002,2017-12-29,-0.069403,0.005455
93002,2018-01-31,-0.034527,0.070367
93002,2018-02-28,-0.006330,-0.004091
93002,2018-03-29,-0.036761,-0.037146
93002,2018-04-30,-0.026437,0.000611
93002,2018-05-31,0.098727,0.067828
93002,2018-06-29,-0.030468,-0.002500
93002,2018-07-31,-0.086012,0.020872
93002,2018-08-31,-0.012355,0.065990
93002,2018-09-28,0.134456,-0.000207
93002,2018-10-31,-0.094192,-0.080048
93002,2018-11-30,0.062285,-0.019625
93002,2018-12-31,0.082221,-0.083823
93002,2019-01-31,0.054939,0.069377
93002,2019-02-28,0.026505,0.069101
93002,2019-03-29,0.101685,0.047606
93002,2019-04-30,0.058827,0.063649
93002,2019-05-31,-0.209673,-0.086647
93002,2019-06-28,0.154467,0.089419
93002,2019-07-31,0.007399,0.034982
93002,2019-08-30,-0.025346,-0.015352
93002,2019-09-30,-0.013869,0.015751
93002,2019-10-31,0.060782,0.038992
93002,2019-11-29,0.079768,0.053663
93002,2019-12-31,0.009677,0.043156
93002,2020-01-31,-0.034365,0.039926
93002,2020-02-28,-0.106633,-0.073010
93002,2020-03-31,-0.118370,-0.086325
93002,2020-04-30,0.145593,0.137365
93002,2020-05-29,0.072344,0.071765
93002,2020-06-30,0.094723,0.069414
93002,2020-07-31,0.003612,0.056848
93002,2020-08-31,0.095975,0.118808
93002,2020-09-30,0.058822,-0.053448
93002,2020-10-30,-0.040322,-0.050043
93002,2020-11-30,0.148586,0.113837
93002,2020-12-31,0.099283,0.055374
93002,2021-01-29,0.028891,-0.008383
93002,2021-02-26,0.042997,0.013651
93002,2021-03-31,-0.005555,0.018312
93002,2021-04-30,-0.016089,0.051879
93002,2021-05-28,0.035357,-0.009306
93002,2021-06-30,0.017170,0.068783
93002,2021-07-30,0.017952,0.038873
93002,2021-08-31,0.024330,0.035593
93002,2021-09-30,-0.017457,-0.058335
93002,2021-10-29,0.096385,0.081771
93002,2021-11-30,0.041398,0.044512
93002,2021-12-31,0.209200,0.032400
93002,2022-01-31,-0.119520,-0.068442
93002,2022-02-28,0.002663,-0.048774
93002,2022-03-31,0.078885,0.033398
93002,2022-04-29,-0.119569,-0.110174
93002,2022-05-31,0.046429,-0.006859
93002,2022-06-30,-0.155517,-0.092608
93002,2022-07-29,0.102242,0.134519
93002,2022-08-31,-0.067920,-0.062127
93002,2022-09-30,-0.102182,-0.119498
93002,2022-10-31,0.058805,0.076528
93002,2022-11-30,0.172105,0.063267
93002,2022-12-30,0.023048,-0.082044
