PERMNO,date,COMNAM,RET,sprtrn
84788,2011-12-30,AMAZON COM INC,-0.099797,0.008533
84788,2012-01-31,AMAZON COM INC,0.123281,0.043583
84788,2012-02-29,AMAZON COM INC,-0.075859,0.040589
84788,2012-03-30,AMAZON COM INC,0.126996,0.031332
84788,2012-04-30,AMAZON COM INC,0.145129,-0.007497
84788,2012-05-31,AMAZON COM INC,-0.081889,-0.062651
84788,2012-06-29,AMAZON COM INC,0.072519,0.039555
84788,2012-07-31,AMAZON COM INC,0.021677,0.012598
84788,2012-08-31,AMAZON COM INC,0.064166,0.019763
84788,2012-09-28,AMAZON COM INC,0.024369,0.024236
84788,2012-10-31,AMAZON COM INC,-0.084252,-0.019789
84788,2012-11-30,AMAZON COM INC,0.082256,0.002847
84788,2012-12-31,AMAZON COM INC,-0.004682,0.007068
84788,2013-01-31,AMAZON COM INC,0.058317,0.050428
84788,2013-02-28,AMAZON COM INC,-0.004633,0.011061
84788,2013-03-28,AMAZON COM INC,0.008401,0.035988
84788,2013-04-30,AMAZON COM INC,-0.047581,0.018086
84788,2013-05-31,AMAZON COM INC,0.060636,0.020763
84788,2013-06-28,AMAZON COM INC,0.031538,-0.014999
84788,2013-07-31,AMAZON COM INC,0.084735,0.049462
84788,2013-08-30,AMAZON COM INC,-0.067193,-0.031298
84788,2013-09-30,AMAZON COM INC,0.112677,0.029749
84788,2013-10-31,AMAZON COM INC,0.164374,0.044596
84788,2013-11-29,AMAZON COM INC,0.081285,0.028049
84788,2013-12-31,AMAZON COM INC,0.013135,0.023563
84788,2014-01-31,AMAZON COM INC,-0.100554,-0.035583
84788,2014-02-28,AMAZON COM INC,0.009507,0.043117
84788,2014-03-31,AMAZON COM INC,-0.071072,0.006932
84788,2014-04-30,AMAZON COM INC,-0.095833,0.006201
84788,2014-05-30,AMAZON COM INC,0.027685,0.02103
84788,2014-06-30,AMAZON COM INC,0.039130,0.019058
84788,2014-07-31,AMAZON COM INC,-0.036302,-0.01508
84788,2014-08-29,AMAZON COM INC,0.083230,0.037655
84788,2014-09-30,AMAZON COM INC,-0.048962,-0.015514
